customer_id,customer_name,gender,age,email,phone,city,country,segment,signup_date
CUST00038,Tony Lee,Female,18,jeffrey90@example.org,-4574,Tokyo,Japan,Consumer,05-10-2024
CUST00011,Olivia Lee,Male,24,lorettasingh@example.org,587.750.0474,Melbourne,Australia,Corporate,06-09-2021
CUST00523,John Cantrell,Other,27,wfranklin@example.com,+1-266-301-2077x774,Mumbai,India,Corporate,20-04-2023
CUST00909,Steven Sosa,Other,18,robertreed@example.org,785.353.5167,London,UK,Consumer,08-01-2024
CUST00730,James Hale,Other,29,steven61@example.com,+1-294-427-0952x1467,Los Angeles,USA,Consumer,16-07-2022
CUST00127,Jeffrey Cohen,Male,46,shari14@example.org,001-390-831-0535,London,UK,Consumer,03-03-2023
CUST00330,Shelley Ortiz,Other,38,zwilson@example.com,839.365.7852,Toronto,Canada,Consumer,03-10-2020
CUST00130,Edwin Wilkerson,Male,39,brianaallen@example.net,386-622-9763,Munich,Germany,Corporate,28-01-2019
CUST00262,Tiffany Garrison,Female,,vasquezmaria@example.org,(261)396-4986,Berlin,,Home Office,14-07-2022
CUST00627,Christina Gonzalez,Female,46,krystaljones@example.org,+1-672-268-2512x768,Houston,USA,Home Office,14-10-2020
CUST00532,Monica Berry,Female,60,ulee@example.com,250.977.8730x182,Melbourne,Australia,Corporate,18-01-2022
CUST00067,Susan Molina,Male,48,bryancrystal@example.com,612.213.4556x4054,Chennai,India,Consumer,18-04-2023
CUST00718,William Coleman,Female,56,glenn14@example.com,,Toronto,Canada,Corporate,19-10-2021
CUST00727,Stephanie Brown,Male,32,wwilliams@example.com,7452764416,Singapore,Singapore,Consumer,25-02-2019
CUST00943,Stephanie Jenkins,,35,rnguyen@example.net,(420)994-9642x34664,Paris,France,Corporate,10-09-2021
CUST00873,Laura Davis,Other,31,mirandarivera@example.net,325.707.1987,Chicago,USA,Consumer,08-03-2019
CUST00882,Dr. Jason Howard,Other,55,john14@example.net,+1-836-223-2527x208,Lyon,France,Corporate,24-04-2020
CUST00791,Bryan Everett,Other,27,williamfields@example.com,(654)248-7885x536,Munich,Germany,Consumer,17-10-2024
CUST00406,Erica Kennedy,Female,28,andrewromero@example.com,-5009,Chicago,USA,Corporate,23-04-2021
CUST00867,Tara Suarez,Female,46,lawrencethompson@example.org,(479)981-0874,Melbourne,Australia,Home Office,03-10-2021
CUST00727,Stephanie Brown,Male,32,wwilliams@example.com,7452764416,Singapore,Singapore,Consumer,25-02-2019
